frame,time_s,scenario,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
134,4.4791,Midnight 00:00,0.1,1,-0.79871,-0.47806,2.5992,0.5992,-0.79871,-1.47806,3.16581,0.01337,-0.07826,625.0,5.098
135,4.5125,Midnight 00:00,0.1,1,-0.82224,-0.505,2.67697,0.67697,-0.82224,-1.505,3.10872,-0.01412,0.06875,600.0,5.116
136,4.546,Midnight 00:00,0.1,1,-0.79899,-0.50235,2.60015,0.60015,-0.79899,-1.50235,3.16666,0.01378,-0.0767,625.0,5.105
137,4.5794,Midnight 00:00,0.1,1,-0.80284,-0.51918,2.61277,0.61277,-0.80284,-1.51918,-3.18101,0.01973,0.06282,612.5,5.112
138,4.6128,Midnight 00:00,0.1,1,-0.82175,-0.54605,2.67534,0.67534,-0.82175,-1.54605,3.10827,-0.01441,0.06516,600.0,5.117
139,4.6462,Midnight 00:00,0.1,1,-0.80573,-0.54813,2.62829,0.62829,-0.80573,-1.54813,-3.03875,-0.02028,0.11387,612.5,5.099
140,4.6797,Midnight 00:00,0.1,1,-0.82146,-0.57067,2.67439,0.67439,-0.82146,-1.57067,3.10808,-0.01455,0.0631,600.0,5.118
141,4.7131,Midnight 00:00,0.1,1,-0.82128,-0.58707,2.67377,0.67377,-0.82128,-1.58707,3.10798,-0.01463,0.06176,600.0,5.112
142,4.7465,Midnight 00:00,0.1,1,-0.79997,-0.58346,2.60337,0.60337,-0.79997,-1.58346,3.16909,0.01492,-0.07134,625.0,5.105
143,4.7799,Midnight 00:00,0.1,1,-0.821,-0.61166,2.67286,0.67286,-0.821,-1.61166,3.10787,-0.01473,0.0598,600.0,5.119
144,4.8134,Midnight 00:00,0.1,1,-0.80027,-0.60783,2.60435,0.60435,-0.80027,-1.60783,3.1697,0.0152,-0.06971,625.0,5.104
145,4.8468,Midnight 00:00,0.1,1,-0.82074,-0.63625,2.67198,0.67198,-0.82074,-1.63625,3.10781,-0.01481,0.05791,600.0,5.116
146,4.8802,Midnight 00:00,0.1,1,-0.82056,-0.65263,2.6714,0.6714,-0.82056,-1.65263,3.10779,-0.01485,0.05668,600.0,5.117
147,4.9136,Midnight 00:00,0.1,1,-0.80076,-0.64849,2.60597,0.60597,-0.80076,-1.64849,3.1706,0.01561,-0.06698,625.0,5.102
148,4.9471,Midnight 00:00,0.1,1,-0.82031,-0.67719,2.67056,0.67056,-0.82031,-1.67719,3.10779,-0.0149,0.0549,600.0,5.118
149,4.9805,Midnight 00:00,0.1,1,-0.80105,-0.67291,2.60693,0.60693,-0.80105,-1.67291,3.17108,0.01581,-0.06535,625.0,5.107
150,5.0139,Midnight 00:00,0.1,1,-0.82006,-0.70175,2.66975,0.66975,-0.82006,-1.70175,3.10783,-0.01493,0.05318,600.0,5.111
151,5.0474,Midnight 00:00,0.1,1,-0.8199,-0.71812,2.66922,0.66922,-0.8199,-1.71812,3.10787,-0.01494,0.05206,600.0,5.12
152,5.0808,Midnight 00:00,0.1,1,-0.80153,-0.71364,2.60852,0.60852,-0.80153,-1.71364,3.17176,0.0161,-0.06265,625.0,5.1
153,5.1142,Midnight 00:00,0.1,1,-0.81967,-0.74266,2.66845,0.66845,-0.81967,-1.74266,3.10795,-0.01494,0.05044,600.0,5.118
154,5.1476,Midnight 00:00,0.1,1,-0.81952,-0.75902,2.66795,0.66795,-0.81952,-1.75902,3.10802,-0.01494,0.04939,600.0,5.114
155,5.1811,Midnight 00:00,0.1,1,-0.802,-0.75442,2.61007,0.61007,-0.802,-1.75442,3.17232,0.01632,-0.05999,625.0,5.102
156,5.2145,Midnight 00:00,0.1,1,-0.8193,-0.78355,2.66722,0.66722,-0.8193,-1.78355,3.10814,-0.01492,0.04787,600.0,5.119
157,5.2479,Midnight 00:00,0.1,1,-0.80228,-0.7789,2.61098,0.61098,-0.80228,-1.7789,3.1726,0.01642,-0.05842,625.0,5.104
158,5.2813,Midnight 00:00,0.1,1,-0.81895,-0.82443,2.66606,0.66606,-0.81895,-1.82443,3.10839,-0.01487,0.04545,600.0,5.117
159,5.3148,Midnight 00:00,0.1,1,-0.81895,-0.82443,2.66606,0.66606,-0.81895,-1.82443,3.10839,-0.01487,0.04545,600.0,5.117
160,5.3482,Midnight 00:00,0.1,1,-0.81875,-0.84894,2.6654,0.6654,-0.81875,-1.84894,3.10856,-0.01483,0.04407,600.0,5.117
161,5.3816,Midnight 00:00,0.1,1,-0.81875,-0.84894,2.6654,0.6654,-0.81875,-1.84894,3.10856,-0.01483,0.04407,600.0,5.117
162,5.415,Midnight 00:00,0.1,1,-0.81862,-0.86529,2.66497,0.66497,-0.81862,-1.86529,3.10868,-0.0148,0.04318,600.0,5.109
163,5.4485,Midnight 00:00,0.1,1,-0.79524,-0.85249,2.61386,0.61386,-0.79524,-1.85249,3.1735,0.01662,-0.05391,625.0,5.103
164,5.4819,Midnight 00:00,0.1,1,-0.79434,-0.86395,2.64961,0.64961,-0.79434,-1.86395,3.21954,0.04789,-0.17057,600.0,5.12
165,5.5153,Midnight 00:00,0.1,1,-0.75604,-0.85289,2.6151,0.6151,-0.75604,-1.85289,3.17511,0.01663,-0.05411,625.0,5.112
166,5.5487,Midnight 00:00,0.1,1,-0.75604,-0.85289,2.6151,0.6151,-0.75604,-1.85289,3.17511,0.01663,-0.05411,625.0,5.112
167,5.5822,Midnight 00:00,0.1,1,-0.73251,-0.85314,2.61588,0.61588,-0.73251,-1.85314,3.17612,0.01662,-0.05418,625.0,5.113
168,5.6156,Midnight 00:00,0.1,1,-0.73251,-0.85314,2.61588,0.61588,-0.73251,-1.85314,3.17612,0.01662,-0.05418,625.0,5.113
169,5.649,Midnight 00:00,0.1,1,-0.73078,-0.86728,2.65994,0.65994,-0.73078,-1.86728,3.23628,0.01596,-0.06869,612.5,5.126
